Train: [1][0/25], lr: 0.00300	Time 1.291 (1.291)	Data 0.367 (0.367)	Prec@1 9.375 (9.375)	Prec@1 1.562 (1.562)	Prec@1 0.000 (0.000)	Prec@5 43.750 (43.750)	Prec@5 46.875 (46.875)	Prec@5 18.750 (18.750)	Loss 2.8382 (2.8382)   loss_verb 2.0801   loss_noun 2.0805	alpha 0.017  loss_d 0.1515	beta 0.008, 0.008, 0.017  loss_a 0.6931	gamma 0.030000  loss_e_verb 2.0794 loss_e_noun 2.0794	
Train: [2][0/25], lr: 0.00300	Time 0.365 (0.365)	Data 0.313 (0.313)	Prec@1 43.750 (43.750)	Prec@1 0.000 (0.000)	Prec@1 0.000 (0.000)	Prec@5 92.188 (92.188)	Prec@5 65.625 (65.625)	Prec@5 60.938 (60.938)	Loss 2.3454 (2.3454)   loss_verb 1.6015   loss_noun 2.0840	alpha 0.033  loss_d 0.2427	beta 0.017, 0.017, 0.033  loss_a 0.6814	gamma 0.030000  loss_e_verb 1.8134 loss_e_noun 2.0793	
Train: [3][0/25], lr: 0.00300	Time 0.378 (0.378)	Data 0.312 (0.312)	Prec@1 84.375 (84.375)	Prec@1 12.500 (12.500)	Prec@1 12.500 (12.500)	Prec@5 95.312 (95.312)	Prec@5 79.688 (79.688)	Prec@5 75.000 (75.000)	Loss 1.4145 (1.4145)   loss_verb 0.6417   loss_noun 2.0790	alpha 0.050  loss_d 1.0786	beta 0.025, 0.025, 0.050  loss_a 0.6722	gamma 0.030000  loss_e_verb 1.5587 loss_e_noun 2.0793	
Train: [4][0/25], lr: 0.00300	Time 0.366 (0.366)	Data 0.297 (0.297)	Prec@1 76.562 (76.562)	Prec@1 7.812 (7.812)	Prec@1 6.250 (6.250)	Prec@5 93.750 (93.750)	Prec@5 60.938 (60.938)	Prec@5 57.812 (57.812)	Loss 1.2970 (1.2970)   loss_verb 0.5308   loss_noun 2.0817	alpha 0.067  loss_d 0.9029	beta 0.033, 0.033, 0.067  loss_a 0.6681	gamma 0.030000  loss_e_verb 1.2658 loss_e_noun 2.0792	
Train: [5][0/25], lr: 0.00300	Time 0.371 (0.371)	Data 0.305 (0.305)	Prec@1 93.750 (93.750)	Prec@1 7.812 (7.812)	Prec@1 6.250 (6.250)	Prec@5 95.312 (95.312)	Prec@5 65.625 (65.625)	Prec@5 60.938 (60.938)	Loss 0.9145 (0.9145)   loss_verb 0.1890   loss_noun 2.0839	alpha 0.083  loss_d 0.4065	beta 0.042, 0.042, 0.083  loss_a 0.6665	gamma 0.030000  loss_e_verb 0.8407 loss_e_noun 2.0790	
Train: [6][0/25], lr: 0.00300	Time 0.391 (0.391)	Data 0.316 (0.316)	Prec@1 98.438 (98.438)	Prec@1 3.125 (3.125)	Prec@1 3.125 (3.125)	Prec@5 98.438 (98.438)	Prec@5 56.250 (56.250)	Prec@5 54.688 (54.688)	Loss 0.8142 (0.8142)   loss_verb 0.0951   loss_noun 2.0905	alpha 0.100  loss_d 0.3605	beta 0.050, 0.050, 0.100  loss_a 0.6659	gamma 0.030000  loss_e_verb 0.5755 loss_e_noun 2.0788	
Train: [7][0/25], lr: 0.00300	Time 0.372 (0.372)	Data 0.312 (0.312)	Prec@1 95.312 (95.312)	Prec@1 6.250 (6.250)	Prec@1 6.250 (6.250)	Prec@5 98.438 (98.438)	Prec@5 62.500 (62.500)	Prec@5 62.500 (62.500)	Loss 0.8535 (0.8535)   loss_verb 0.1380   loss_noun 2.0819	alpha 0.116  loss_d 0.2970	beta 0.058, 0.058, 0.116  loss_a 0.6657	gamma 0.030000  loss_e_verb 0.5103 loss_e_noun 2.0787	
Train: [8][0/25], lr: 0.00300	Time 0.397 (0.397)	Data 0.325 (0.325)	Prec@1 95.312 (95.312)	Prec@1 3.125 (3.125)	Prec@1 3.125 (3.125)	Prec@5 98.438 (98.438)	Prec@5 57.812 (57.812)	Prec@5 56.250 (56.250)	Loss 0.8400 (0.8400)   loss_verb 0.1214   loss_noun 2.0868	alpha 0.133  loss_d 0.2769	beta 0.066, 0.066, 0.133  loss_a 0.6656	gamma 0.030000  loss_e_verb 0.5428 loss_e_noun 2.0786	
Train: [9][0/25], lr: 0.00300	Time 0.381 (0.381)	Data 0.325 (0.325)	Prec@1 95.312 (95.312)	Prec@1 6.250 (6.250)	Prec@1 6.250 (6.250)	Prec@5 95.312 (95.312)	Prec@5 56.250 (56.250)	Prec@5 51.562 (51.562)	Loss 0.8278 (0.8278)   loss_verb 0.1197   loss_noun 2.0952	alpha 0.149  loss_d 0.2175	beta 0.074, 0.074, 0.149  loss_a 0.6656	gamma 0.030000  loss_e_verb 0.3401 loss_e_noun 2.0784	
Train: [10][0/25], lr: 0.00030	Time 0.387 (0.387)	Data 0.335 (0.335)	Prec@1 93.750 (93.750)	Prec@1 3.125 (3.125)	Prec@1 1.562 (1.562)	Prec@5 100.000 (100.000)	Prec@5 67.188 (67.188)	Prec@5 67.188 (67.188)	Loss 0.8453 (0.8453)   loss_verb 0.1363   loss_noun 2.0896	alpha 0.165  loss_d 0.1956	beta 0.083, 0.083, 0.165  loss_a 0.6656	gamma 0.030000  loss_e_verb 0.3705 loss_e_noun 2.0786	
Train: [11][0/25], lr: 0.00030	Time 0.380 (0.380)	Data 0.330 (0.330)	Prec@1 92.188 (92.188)	Prec@1 6.250 (6.250)	Prec@1 4.688 (4.688)	Prec@5 100.000 (100.000)	Prec@5 64.062 (64.062)	Prec@5 64.062 (64.062)	Loss 0.8821 (0.8821)   loss_verb 0.1776   loss_noun 2.0868	alpha 0.181  loss_d 0.1507	beta 0.091, 0.091, 0.181  loss_a 0.6656	gamma 0.030000  loss_e_verb 0.3858 loss_e_noun 2.0786	
Train: [12][0/25], lr: 0.00030	Time 0.394 (0.394)	Data 0.326 (0.326)	Prec@1 90.625 (90.625)	Prec@1 6.250 (6.250)	Prec@1 4.688 (4.688)	Prec@5 100.000 (100.000)	Prec@5 51.562 (51.562)	Prec@5 51.562 (51.562)	Loss 0.9161 (0.9161)   loss_verb 0.1977   loss_noun 2.0950	alpha 0.197  loss_d 0.2084	beta 0.099, 0.099, 0.197  loss_a 0.6656	gamma 0.030000  loss_e_verb 0.3886 loss_e_noun 2.0786	
Train: [13][0/25], lr: 0.00030	Time 0.393 (0.393)	Data 0.310 (0.310)	Prec@1 92.188 (92.188)	Prec@1 6.250 (6.250)	Prec@1 6.250 (6.250)	Prec@5 100.000 (100.000)	Prec@5 57.812 (57.812)	Prec@5 57.812 (57.812)	Loss 0.8711 (0.8711)   loss_verb 0.1610   loss_noun 2.0936	alpha 0.213  loss_d 0.1566	beta 0.107, 0.107, 0.213  loss_a 0.6656	gamma 0.030000  loss_e_verb 0.3688 loss_e_noun 2.0784	
Train: [14][0/25], lr: 0.00030	Time 0.394 (0.394)	Data 0.314 (0.314)	Prec@1 92.188 (92.188)	Prec@1 1.562 (1.562)	Prec@1 1.562 (1.562)	Prec@5 100.000 (100.000)	Prec@5 70.312 (70.312)	Prec@5 70.312 (70.312)	Loss 0.8849 (0.8849)   loss_verb 0.1683   loss_noun 2.0851	alpha 0.229  loss_d 0.1814	beta 0.115, 0.115, 0.229  loss_a 0.6656	gamma 0.030000  loss_e_verb 0.3175 loss_e_noun 2.0785	
Train: [15][0/25], lr: 0.00030	Time 0.390 (0.390)	Data 0.316 (0.316)	Prec@1 92.188 (92.188)	Prec@1 4.688 (4.688)	Prec@1 3.125 (3.125)	Prec@5 100.000 (100.000)	Prec@5 71.875 (71.875)	Prec@5 71.875 (71.875)	Loss 0.8876 (0.8876)   loss_verb 0.1693   loss_noun 2.0856	alpha 0.245  loss_d 0.1630	beta 0.122, 0.122, 0.245  loss_a 0.6656	gamma 0.030000  loss_e_verb 0.4272 loss_e_noun 2.0785	
Train: [16][0/25], lr: 0.00030	Time 0.397 (0.397)	Data 0.325 (0.325)	Prec@1 100.000 (100.000)	Prec@1 7.812 (7.812)	Prec@1 7.812 (7.812)	Prec@5 100.000 (100.000)	Prec@5 56.250 (56.250)	Prec@5 56.250 (56.250)	Loss 0.7330 (0.7330)   loss_verb 0.0072   loss_noun 2.0889	alpha 0.261  loss_d 0.1866	beta 0.130, 0.130, 0.261  loss_a 0.6655	gamma 0.030000  loss_e_verb 0.3898 loss_e_noun 2.0785	
Train: [17][0/25], lr: 0.00030	Time 0.396 (0.396)	Data 0.308 (0.308)	Prec@1 93.750 (93.750)	Prec@1 14.062 (14.062)	Prec@1 9.375 (9.375)	Prec@5 100.000 (100.000)	Prec@5 60.938 (60.938)	Prec@5 60.938 (60.938)	Loss 0.8361 (0.8361)   loss_verb 0.1172   loss_noun 2.0851	alpha 0.276  loss_d 0.1597	beta 0.138, 0.138, 0.276  loss_a 0.6656	gamma 0.030000  loss_e_verb 0.3060 loss_e_noun 2.0785	
Train: [18][0/25], lr: 0.00030	Time 0.393 (0.393)	Data 0.323 (0.323)	Prec@1 96.875 (96.875)	Prec@1 6.250 (6.250)	Prec@1 6.250 (6.250)	Prec@5 100.000 (100.000)	Prec@5 51.562 (51.562)	Prec@5 51.562 (51.562)	Loss 0.7923 (0.7923)   loss_verb 0.0672   loss_noun 2.0907	alpha 0.291  loss_d 0.1656	beta 0.146, 0.146, 0.291  loss_a 0.6656	gamma 0.030000  loss_e_verb 0.3746 loss_e_noun 2.0786	
Train: [19][0/25], lr: 0.00030	Time 0.372 (0.372)	Data 0.273 (0.273)	Prec@1 95.312 (95.312)	Prec@1 4.688 (4.688)	Prec@1 3.125 (3.125)	Prec@5 100.000 (100.000)	Prec@5 57.812 (57.812)	Prec@5 57.812 (57.812)	Loss 0.8602 (0.8602)   loss_verb 0.1126   loss_noun 2.0941	alpha 0.306  loss_d 0.2312	beta 0.153, 0.153, 0.306  loss_a 0.6655	gamma 0.030000  loss_e_verb 0.3731 loss_e_noun 2.0785	
Train: [20][0/25], lr: 0.00003	Time 0.369 (0.369)	Data 0.317 (0.317)	Prec@1 95.312 (95.312)	Prec@1 10.938 (10.938)	Prec@1 7.812 (7.812)	Prec@5 100.000 (100.000)	Prec@5 64.062 (64.062)	Prec@5 64.062 (64.062)	Loss 0.8204 (0.8204)   loss_verb 0.0927   loss_noun 2.0856	alpha 0.322  loss_d 0.1632	beta 0.161, 0.161, 0.322  loss_a 0.6656	gamma 0.030000  loss_e_verb 0.3223 loss_e_noun 2.0785	
Train: [21][0/25], lr: 0.00003	Time 0.402 (0.402)	Data 0.320 (0.320)	Prec@1 95.312 (95.312)	Prec@1 3.125 (3.125)	Prec@1 1.562 (1.562)	Prec@5 100.000 (100.000)	Prec@5 57.812 (57.812)	Prec@5 57.812 (57.812)	Loss 0.8239 (0.8239)   loss_verb 0.0866   loss_noun 2.0951	alpha 0.336  loss_d 0.1828	beta 0.168, 0.168, 0.336  loss_a 0.6656	gamma 0.030000  loss_e_verb 0.3402 loss_e_noun 2.0786	
Train: [22][0/25], lr: 0.00003	Time 0.374 (0.374)	Data 0.289 (0.289)	Prec@1 90.625 (90.625)	Prec@1 3.125 (3.125)	Prec@1 1.562 (1.562)	Prec@5 100.000 (100.000)	Prec@5 48.438 (48.438)	Prec@5 48.438 (48.438)	Loss 0.9196 (0.9196)   loss_verb 0.1955   loss_noun 2.0998	alpha 0.351  loss_d 0.1348	beta 0.176, 0.176, 0.351  loss_a 0.6656	gamma 0.030000  loss_e_verb 0.3710 loss_e_noun 2.0785	
Train: [23][0/25], lr: 0.00003	Time 0.377 (0.377)	Data 0.293 (0.293)	Prec@1 92.188 (92.188)	Prec@1 6.250 (6.250)	Prec@1 4.688 (4.688)	Prec@5 100.000 (100.000)	Prec@5 64.062 (64.062)	Prec@5 64.062 (64.062)	Loss 0.9356 (0.9356)   loss_verb 0.1840   loss_noun 2.0860	alpha 0.366  loss_d 0.2055	beta 0.183, 0.183, 0.366  loss_a 0.6656	gamma 0.030000  loss_e_verb 0.3636 loss_e_noun 2.0786	
Train: [24][0/25], lr: 0.00003	Time 0.397 (0.397)	Data 0.322 (0.322)	Prec@1 92.188 (92.188)	Prec@1 3.125 (3.125)	Prec@1 3.125 (3.125)	Prec@5 100.000 (100.000)	Prec@5 67.188 (67.188)	Prec@5 67.188 (67.188)	Loss 0.9204 (0.9204)   loss_verb 0.1749   loss_noun 2.0868	alpha 0.380  loss_d 0.1792	beta 0.190, 0.190, 0.380  loss_a 0.6656	gamma 0.030000  loss_e_verb 0.3928 loss_e_noun 2.0786	
