Train: [1][0/25], lr: 0.00300	Time 1.346 (1.346)	Data 0.371 (0.371)	Prec@1 9.375 (9.375)	Prec@1 14.062 (14.062)	Prec@1 1.562 (1.562)	Prec@5 75.000 (75.000)	Prec@5 76.562 (76.562)	Prec@5 57.812 (57.812)	Loss 2.7787 (2.7787)   loss_verb 2.0793   loss_noun 2.0792	alpha 0.000  loss_d 0.1917	beta 0.008, 0.008, 0.008  loss_a 0.6931	gamma 0.003000  loss_e_verb 2.0794 loss_e_noun 2.0794	
Train: [2][0/25], lr: 0.00206	Time 0.336 (0.336)	Data 0.310 (0.310)	Prec@1 28.125 (28.125)	Prec@1 15.625 (15.625)	Prec@1 4.688 (4.688)	Prec@5 96.875 (96.875)	Prec@5 95.312 (95.312)	Prec@5 93.750 (93.750)	Loss 2.7140 (2.7140)   loss_verb 2.0239   loss_noun 2.0779	alpha 0.000  loss_d 0.1393	beta 0.017, 0.017, 0.017  loss_a 0.6839	gamma 0.003000  loss_e_verb 2.0773 loss_e_noun 2.0794	
Train: [3][0/25], lr: 0.00179	Time 0.360 (0.360)	Data 0.333 (0.333)	Prec@1 28.125 (28.125)	Prec@1 17.188 (17.188)	Prec@1 6.250 (6.250)	Prec@5 92.188 (92.188)	Prec@5 95.312 (95.312)	Prec@5 87.500 (87.500)	Loss 2.4799 (2.4799)   loss_verb 1.7984   loss_noun 2.0734	alpha 0.000  loss_d 0.1021	beta 0.025, 0.025, 0.025  loss_a 0.6758	gamma 0.003000  loss_e_verb 1.8983 loss_e_noun 2.0794	
Train: [4][0/25], lr: 0.00160	Time 0.355 (0.355)	Data 0.328 (0.328)	Prec@1 50.000 (50.000)	Prec@1 23.438 (23.438)	Prec@1 12.500 (12.500)	Prec@5 87.500 (87.500)	Prec@5 90.625 (90.625)	Prec@5 79.688 (79.688)	Loss 2.2967 (2.2967)   loss_verb 1.6198   loss_noun 2.0720	alpha 0.000  loss_d 0.1551	beta 0.033, 0.033, 0.033  loss_a 0.6715	gamma 0.003000  loss_e_verb 1.7997 loss_e_noun 2.0794	
Train: [5][0/25], lr: 0.00144	Time 0.336 (0.336)	Data 0.312 (0.312)	Prec@1 51.562 (51.562)	Prec@1 21.875 (21.875)	Prec@1 7.812 (7.812)	Prec@5 95.312 (95.312)	Prec@5 96.875 (96.875)	Prec@5 92.188 (92.188)	Loss 1.9615 (1.9615)   loss_verb 1.2869   loss_noun 2.0731	alpha 0.000  loss_d 0.3448	beta 0.042, 0.042, 0.042  loss_a 0.6692	gamma 0.003000  loss_e_verb 1.8053 loss_e_noun 2.0794	
Train: [6][0/25], lr: 0.00132	Time 0.358 (0.358)	Data 0.329 (0.329)	Prec@1 78.125 (78.125)	Prec@1 21.875 (21.875)	Prec@1 18.750 (18.750)	Prec@5 87.500 (87.500)	Prec@5 84.375 (84.375)	Prec@5 75.000 (75.000)	Loss 1.5972 (1.5972)   loss_verb 0.9238   loss_noun 2.0731	alpha 0.000  loss_d 0.5556	beta 0.050, 0.050, 0.050  loss_a 0.6679	gamma 0.003000  loss_e_verb 1.8270 loss_e_noun 2.0794	
Train: [7][0/25], lr: 0.00122	Time 0.342 (0.342)	Data 0.310 (0.310)	Prec@1 81.250 (81.250)	Prec@1 20.312 (20.312)	Prec@1 18.750 (18.750)	Prec@5 92.188 (92.188)	Prec@5 78.125 (78.125)	Prec@5 71.875 (71.875)	Loss 1.4493 (1.4493)   loss_verb 0.7768   loss_noun 2.0750	alpha 0.000  loss_d 0.6030	beta 0.058, 0.058, 0.058  loss_a 0.6670	gamma 0.003000  loss_e_verb 1.7913 loss_e_noun 2.0794	
Train: [8][0/25], lr: 0.00114	Time 0.354 (0.354)	Data 0.321 (0.321)	Prec@1 84.375 (84.375)	Prec@1 20.312 (20.312)	Prec@1 20.312 (20.312)	Prec@5 92.188 (92.188)	Prec@5 85.938 (85.938)	Prec@5 78.125 (78.125)	Loss 1.2211 (1.2211)   loss_verb 0.5492   loss_noun 2.0724	alpha 0.000  loss_d 0.6861	beta 0.066, 0.066, 0.066  loss_a 0.6666	gamma 0.003000  loss_e_verb 1.7799 loss_e_noun 2.0794	
Train: [9][0/25], lr: 0.00106	Time 0.349 (0.349)	Data 0.316 (0.316)	Prec@1 96.875 (96.875)	Prec@1 20.312 (20.312)	Prec@1 20.312 (20.312)	Prec@5 96.875 (96.875)	Prec@5 75.000 (75.000)	Prec@5 73.438 (73.438)	Loss 0.9970 (0.9970)   loss_verb 0.3254   loss_noun 2.0741	alpha 0.000  loss_d 0.7424	beta 0.074, 0.074, 0.074  loss_a 0.6663	gamma 0.003000  loss_e_verb 1.7786 loss_e_noun 2.0794	
Train: [10][0/25], lr: 0.00100	Time 0.358 (0.358)	Data 0.328 (0.328)	Prec@1 93.750 (93.750)	Prec@1 21.875 (21.875)	Prec@1 18.750 (18.750)	Prec@5 95.312 (95.312)	Prec@5 81.250 (81.250)	Prec@5 76.562 (76.562)	Loss 1.0240 (1.0240)   loss_verb 0.3526   loss_noun 2.0725	alpha 0.000  loss_d 0.7295	beta 0.083, 0.083, 0.083  loss_a 0.6660	gamma 0.003000  loss_e_verb 1.7960 loss_e_noun 2.0794	
Train: [11][0/25], lr: 0.00095	Time 0.345 (0.345)	Data 0.312 (0.312)	Prec@1 90.625 (90.625)	Prec@1 17.188 (17.188)	Prec@1 17.188 (17.188)	Prec@5 98.438 (98.438)	Prec@5 76.562 (76.562)	Prec@5 76.562 (76.562)	Loss 1.0026 (1.0026)   loss_verb 0.3315   loss_noun 2.0738	alpha 0.000  loss_d 0.6835	beta 0.091, 0.091, 0.091  loss_a 0.6659	gamma 0.003000  loss_e_verb 1.7462 loss_e_noun 2.0794	
Train: [12][0/25], lr: 0.00090	Time 0.343 (0.343)	Data 0.312 (0.312)	Prec@1 89.062 (89.062)	Prec@1 20.312 (20.312)	Prec@1 20.312 (20.312)	Prec@5 100.000 (100.000)	Prec@5 76.562 (76.562)	Prec@5 76.562 (76.562)	Loss 1.0143 (1.0143)   loss_verb 0.3433   loss_noun 2.0728	alpha 0.000  loss_d 0.7073	beta 0.099, 0.099, 0.099  loss_a 0.6657	gamma 0.003000  loss_e_verb 1.7694 loss_e_noun 2.0794	
Train: [13][0/25], lr: 0.00086	Time 0.356 (0.356)	Data 0.325 (0.325)	Prec@1 90.625 (90.625)	Prec@1 12.500 (12.500)	Prec@1 12.500 (12.500)	Prec@5 98.438 (98.438)	Prec@5 73.438 (73.438)	Prec@5 73.438 (73.438)	Loss 0.9595 (0.9595)   loss_verb 0.2886   loss_noun 2.0736	alpha 0.000  loss_d 0.6978	beta 0.107, 0.107, 0.107  loss_a 0.6656	gamma 0.003000  loss_e_verb 1.7778 loss_e_noun 2.0794	
Train: [14][0/25], lr: 0.00082	Time 0.337 (0.337)	Data 0.317 (0.317)	Prec@1 93.750 (93.750)	Prec@1 17.188 (17.188)	Prec@1 17.188 (17.188)	Prec@5 100.000 (100.000)	Prec@5 70.312 (70.312)	Prec@5 70.312 (70.312)	Loss 0.9059 (0.9059)   loss_verb 0.2352   loss_noun 2.0744	alpha 0.000  loss_d 0.7120	beta 0.115, 0.115, 0.115  loss_a 0.6655	gamma 0.003000  loss_e_verb 1.7339 loss_e_noun 2.0794	
Train: [15][0/25], lr: 0.00078	Time 0.347 (0.347)	Data 0.326 (0.326)	Prec@1 98.438 (98.438)	Prec@1 15.625 (15.625)	Prec@1 15.625 (15.625)	Prec@5 100.000 (100.000)	Prec@5 79.688 (79.688)	Prec@5 79.688 (79.688)	Loss 0.8214 (0.8214)   loss_verb 0.1507   loss_noun 2.0735	alpha 0.000  loss_d 0.7519	beta 0.122, 0.122, 0.122  loss_a 0.6655	gamma 0.003000  loss_e_verb 1.7386 loss_e_noun 2.0794	
Train: [16][0/25], lr: 0.00075	Time 0.368 (0.368)	Data 0.331 (0.331)	Prec@1 95.312 (95.312)	Prec@1 14.062 (14.062)	Prec@1 14.062 (14.062)	Prec@5 100.000 (100.000)	Prec@5 73.438 (73.438)	Prec@5 73.438 (73.438)	Loss 0.8751 (0.8751)   loss_verb 0.2044   loss_noun 2.0757	alpha 0.000  loss_d 0.7109	beta 0.130, 0.130, 0.130  loss_a 0.6654	gamma 0.003000  loss_e_verb 1.7682 loss_e_noun 2.0794	
Train: [17][0/25], lr: 0.00072	Time 0.331 (0.331)	Data 0.312 (0.312)	Prec@1 90.625 (90.625)	Prec@1 21.875 (21.875)	Prec@1 21.875 (21.875)	Prec@5 100.000 (100.000)	Prec@5 73.438 (73.438)	Prec@5 73.438 (73.438)	Loss 1.0071 (1.0071)   loss_verb 0.3366   loss_noun 2.0702	alpha 0.000  loss_d 0.5902	beta 0.138, 0.138, 0.138  loss_a 0.6653	gamma 0.003000  loss_e_verb 1.7340 loss_e_noun 2.0794	
Train: [18][0/25], lr: 0.00070	Time 0.340 (0.340)	Data 0.307 (0.307)	Prec@1 96.875 (96.875)	Prec@1 14.062 (14.062)	Prec@1 14.062 (14.062)	Prec@5 100.000 (100.000)	Prec@5 78.125 (78.125)	Prec@5 78.125 (78.125)	Loss 0.7899 (0.7899)   loss_verb 0.1196   loss_noun 2.0734	alpha 0.000  loss_d 0.7887	beta 0.146, 0.146, 0.146  loss_a 0.6650	gamma 0.003000  loss_e_verb 1.7480 loss_e_noun 2.0794	
Train: [19][0/25], lr: 0.00067	Time 0.318 (0.318)	Data 0.296 (0.296)	Prec@1 96.875 (96.875)	Prec@1 17.188 (17.188)	Prec@1 17.188 (17.188)	Prec@5 100.000 (100.000)	Prec@5 85.938 (85.938)	Prec@5 85.938 (85.938)	Loss 0.8020 (0.8020)   loss_verb 0.1317   loss_noun 2.0687	alpha 0.000  loss_d 0.6848	beta 0.153, 0.153, 0.153  loss_a 0.6650	gamma 0.003000  loss_e_verb 1.7608 loss_e_noun 2.0793	
Train: [20][0/25], lr: 0.00065	Time 0.361 (0.361)	Data 0.342 (0.342)	Prec@1 98.438 (98.438)	Prec@1 18.750 (18.750)	Prec@1 18.750 (18.750)	Prec@5 100.000 (100.000)	Prec@5 76.562 (76.562)	Prec@5 76.562 (76.562)	Loss 0.7914 (0.7914)   loss_verb 0.1213   loss_noun 2.0727	alpha 0.000  loss_d 0.7262	beta 0.161, 0.161, 0.161  loss_a 0.6649	gamma 0.003000  loss_e_verb 1.7526 loss_e_noun 2.0794	
Train: [21][0/25], lr: 0.00063	Time 0.356 (0.356)	Data 0.319 (0.319)	Prec@1 93.750 (93.750)	Prec@1 15.625 (15.625)	Prec@1 15.625 (15.625)	Prec@5 100.000 (100.000)	Prec@5 76.562 (76.562)	Prec@5 76.562 (76.562)	Loss 0.8947 (0.8947)   loss_verb 0.2247   loss_noun 2.0724	alpha 0.000  loss_d 0.5701	beta 0.168, 0.168, 0.168  loss_a 0.6648	gamma 0.003000  loss_e_verb 1.7290 loss_e_noun 2.0793	
Train: [22][0/25], lr: 0.00061	Time 0.334 (0.334)	Data 0.302 (0.302)	Prec@1 96.875 (96.875)	Prec@1 14.062 (14.062)	Prec@1 14.062 (14.062)	Prec@5 100.000 (100.000)	Prec@5 81.250 (81.250)	Prec@5 81.250 (81.250)	Loss 0.7912 (0.7912)   loss_verb 0.1215   loss_noun 2.0728	alpha 0.000  loss_d 0.6280	beta 0.176, 0.176, 0.176  loss_a 0.6646	gamma 0.003000  loss_e_verb 1.6951 loss_e_noun 2.0793	
Train: [23][0/25], lr: 0.00059	Time 0.360 (0.360)	Data 0.332 (0.332)	Prec@1 100.000 (100.000)	Prec@1 21.875 (21.875)	Prec@1 21.875 (21.875)	Prec@5 100.000 (100.000)	Prec@5 75.000 (75.000)	Prec@5 75.000 (75.000)	Loss 0.7947 (0.7947)   loss_verb 0.1252   loss_noun 2.0709	alpha 0.000  loss_d 0.6645	beta 0.183, 0.183, 0.183  loss_a 0.6644	gamma 0.003000  loss_e_verb 1.6946 loss_e_noun 2.0793	
Train: [24][0/25], lr: 0.00058	Time 0.371 (0.371)	Data 0.338 (0.338)	Prec@1 98.438 (98.438)	Prec@1 21.875 (21.875)	Prec@1 20.312 (20.312)	Prec@5 100.000 (100.000)	Prec@5 76.562 (76.562)	Prec@5 76.562 (76.562)	Loss 0.8599 (0.8599)   loss_verb 0.1906   loss_noun 2.0720	alpha 0.000  loss_d 0.5441	beta 0.190, 0.190, 0.190  loss_a 0.6644	gamma 0.003000  loss_e_verb 1.6608 loss_e_noun 2.0793	
Train: [25][0/25], lr: 0.00056	Time 0.350 (0.350)	Data 0.318 (0.318)	Prec@1 96.875 (96.875)	Prec@1 15.625 (15.625)	Prec@1 15.625 (15.625)	Prec@5 100.000 (100.000)	Prec@5 68.750 (68.750)	Prec@5 68.750 (68.750)	Loss 0.8159 (0.8159)   loss_verb 0.1468   loss_noun 2.0752	alpha 0.000  loss_d 0.6731	beta 0.197, 0.197, 0.197  loss_a 0.6640	gamma 0.003000  loss_e_verb 1.6933 loss_e_noun 2.0793	
Train: [26][0/25], lr: 0.00055	Time 0.355 (0.355)	Data 0.321 (0.321)	Prec@1 100.000 (100.000)	Prec@1 12.500 (12.500)	Prec@1 12.500 (12.500)	Prec@5 100.000 (100.000)	Prec@5 75.000 (75.000)	Prec@5 75.000 (75.000)	Loss 0.7594 (0.7594)   loss_verb 0.0905   loss_noun 2.0745	alpha 0.000  loss_d 0.6500	beta 0.204, 0.204, 0.204  loss_a 0.6637	gamma 0.003000  loss_e_verb 1.7346 loss_e_noun 2.0793	
Train: [27][0/25], lr: 0.00053	Time 0.340 (0.340)	Data 0.313 (0.313)	Prec@1 100.000 (100.000)	Prec@1 25.000 (25.000)	Prec@1 25.000 (25.000)	Prec@5 100.000 (100.000)	Prec@5 70.312 (70.312)	Prec@5 70.312 (70.312)	Loss 0.7426 (0.7426)   loss_verb 0.0740   loss_noun 2.0719	alpha 0.000  loss_d 0.7162	beta 0.211, 0.211, 0.211  loss_a 0.6634	gamma 0.003000  loss_e_verb 1.7206 loss_e_noun 2.0793	
Train: [28][0/25], lr: 0.00052	Time 0.337 (0.337)	Data 0.317 (0.317)	Prec@1 100.000 (100.000)	Prec@1 14.062 (14.062)	Prec@1 14.062 (14.062)	Prec@5 100.000 (100.000)	Prec@5 78.125 (78.125)	Prec@5 78.125 (78.125)	Loss 0.7936 (0.7936)   loss_verb 0.1257   loss_noun 2.0708	alpha 0.000  loss_d 0.6181	beta 0.218, 0.218, 0.218  loss_a 0.6630	gamma 0.003000  loss_e_verb 1.6168 loss_e_noun 2.0793	
Train: [29][0/25], lr: 0.00051	Time 0.360 (0.360)	Data 0.333 (0.333)	Prec@1 100.000 (100.000)	Prec@1 17.188 (17.188)	Prec@1 17.188 (17.188)	Prec@5 100.000 (100.000)	Prec@5 75.000 (75.000)	Prec@5 75.000 (75.000)	Loss 0.7415 (0.7415)   loss_verb 0.0740   loss_noun 2.0713	alpha 0.000  loss_d 0.7178	beta 0.224, 0.224, 0.224  loss_a 0.6625	gamma 0.003000  loss_e_verb 1.6749 loss_e_noun 2.0793	
Train: [30][0/25], lr: 0.00050	Time 0.360 (0.360)	Data 0.332 (0.332)	Prec@1 98.438 (98.438)	Prec@1 18.750 (18.750)	Prec@1 18.750 (18.750)	Prec@5 100.000 (100.000)	Prec@5 81.250 (81.250)	Prec@5 81.250 (81.250)	Loss 0.7700 (0.7700)   loss_verb 0.1029   loss_noun 2.0711	alpha 0.000  loss_d 0.6410	beta 0.231, 0.231, 0.231  loss_a 0.6622	gamma 0.003000  loss_e_verb 1.6529 loss_e_noun 2.0793	
total time: 65.523 
