Train: [1][0/13], lr: 0.00300	Time 0.626 (0.626)	Data 0.553 (0.553)	Prec@1 0.781 (0.781)	Prec@1 0.000 (0.000)	Prec@1 0.000 (0.000)	Prec@5 3.125 (3.125)	Prec@5 0.000 (0.000)	Prec@5 0.000 (0.000)	Loss 5.1385 (5.1385)   loss_verb 4.5740   loss_noun 5.7030	
Train: [2][0/13], lr: 0.00300	Time 0.542 (0.542)	Data 0.495 (0.495)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [3][0/13], lr: 0.00300	Time 0.508 (0.508)	Data 0.468 (0.468)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [4][0/13], lr: 0.00300	Time 0.792 (0.792)	Data 0.708 (0.708)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [5][0/13], lr: 0.00300	Time 0.630 (0.630)	Data 0.590 (0.590)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [6][0/13], lr: 0.00300	Time 0.534 (0.534)	Data 0.465 (0.465)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [7][0/13], lr: 0.00300	Time 0.538 (0.538)	Data 0.474 (0.474)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [8][0/13], lr: 0.00300	Time 0.565 (0.565)	Data 0.527 (0.527)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [9][0/13], lr: 0.00300	Time 0.562 (0.562)	Data 0.514 (0.514)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [10][0/13], lr: 0.00030	Time 0.545 (0.545)	Data 0.484 (0.484)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [11][0/13], lr: 0.00030	Time 0.543 (0.543)	Data 0.489 (0.489)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [12][0/13], lr: 0.00030	Time 0.545 (0.545)	Data 0.501 (0.501)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [13][0/13], lr: 0.00030	Time 0.558 (0.558)	Data 0.499 (0.499)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [14][0/13], lr: 0.00030	Time 0.551 (0.551)	Data 0.487 (0.487)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [15][0/13], lr: 0.00030	Time 0.537 (0.537)	Data 0.482 (0.482)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [16][0/13], lr: 0.00030	Time 0.551 (0.551)	Data 0.496 (0.496)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [17][0/13], lr: 0.00030	Time 0.515 (0.515)	Data 0.463 (0.463)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [18][0/13], lr: 0.00030	Time 0.503 (0.503)	Data 0.462 (0.462)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
